file_name,file_path,file_type,size,album,artist,title,year,genre,duration,track,bitrate
08.+回到过去.flac,./Music/08.+回到过去.flac,.flac,23778284,八度空间（10周年珍藏版）,周杰伦,回到过去,,,231.46666666666667,8,821.8300921658987
Agustin Amigo - 你就不要想起我.mp3,./Music/Agustin Amigo - 你就不要想起我.mp3,.mp3,7959201,,Agustin Amigo,你就不要想起我,,,284.25142857142856,,224.0
Agustin Amigo - 我怀念的.mp3,./Music/Agustin Amigo - 我怀念的.mp3,.mp3,4405806,,Agustin Amigo,我怀念的,,Other,275.352,,128.0
Black Or White_Michael Jackson_King Of Pop.mp3,./Music/Black Or White_Michael Jackson_King Of Pop.mp3,.mp3,4109884,King Of Pop,Michael Jackson,Black Or White,2008,Pop,256.2723590585659,2,128.0
BlackOrWhite_Michael Jackson_Black or White.mp3,./Music/BlackOrWhite_Michael Jackson_Black or White.mp3,.mp3,3046529,Black or White,Michael Jackson,BlackOrWhite,1991,,190.23035421064978,1,128.0
Eminem%26Rihanna-Love+The+Way+You+Lie.ape,./Music/Eminem%26Rihanna-Love+The+Way+You+Lie.ape,.ape,30149622,,Eminem&Rihanna,Love+The+Way+You+Lie,,,,,
Good Time_Owl City_Now That's What I Call Music! 83.mp3,./Music/Good Time_Owl City_Now That's What I Call Music! 83.mp3,.mp3,3332010,Now That's What I Call Music! ,Owl City,Good Time,2012,,207.2245210727969,1,128.0
It's My Life_Bon Jovi_Crush.mp3,./Music/It's My Life_Bon Jovi_Crush.mp3,.mp3,3609409,Crush,Bon Jovi,It's My Life,2000,,224.82007975604034,13,128.0
Ocean-John Butler.mp3,./Music/Ocean-John Butler.mp3,.mp3,12017533,John Butler,John Butler                   ,Ocean,1998,Other,749.9476245835816,5,128.0
RADIO_孙燕姿_RADIO.mp3,./Music/RADIO_孙燕姿_RADIO.mp3,.mp3,3503871,RADIO,孙燕姿,RADIO,2015,,218.62369223551488,1,128.0
Rise_孙燕姿_单曲-Rise.mp3,./Music/Rise_孙燕姿_单曲-Rise.mp3,.mp3,4129155,??-Rise,孙燕姿,Rise,2007,,257.7626397685511,26,128.0
Ritual Dance_Michael Hedges_Best Of Michael Hedges.mp3,./Music/Ritual Dance_Michael Hedges_Best Of Michael Hedges.mp3,.mp3,2206432,Best Of Michael Hedges,Michael Hedges,Ritual Dance,2000,,137.31300336226442,10,128.0
Robynn & Kendy - 思念是一种病.mp3,./Music/Robynn & Kendy - 思念是一种病.mp3,.mp3,3048237,Robynn & Kendy,Robynn & Kendy,Ë¼ÄîÊÇÒ»ÖÖ²¡,,Blues,186.92182344202047,,128.0
Something Just Like This.mp3,./Music/Something Just Like This.mp3,.mp3,3963133,,,Something Just Like This,,,247.89803737586985,,128.0
Sugar (Explicit)_Maroon 5_V.mp3,./Music/Sugar (Explicit)_Maroon 5_V.mp3,.mp3,3779618,V,Maroon 5,Sugar (Explicit),2015,,235.8008913910392,60,128.0
sunflower  ring.mp3,./Music/sunflower  ring.mp3,.mp3,3335070,,,sunflower ring,,Other,208.41064739771505,,128.0
The Saltwater Room_Owl City_Ocean Eyes.mp3,./Music/The Saltwater Room_Owl City_Ocean Eyes.mp3,.mp3,3895524,Ocean Eyes,Owl City,The Saltwater Room,2009,Dance,242.99075768238328,5,128.0
With Or Without You - Luca Stricagnoli.mp3,./Music/With Or Without You - Luca Stricagnoli.mp3,.mp3,6525825,,With Or Without You,Luca Stricagnoli,,,233.05942857142855,,224.0
ティア-ebod-235.mp3,./Music/ティア-ebod-235.mp3,.mp3,1784622,,ティア,ebod-235,,Other,111.528,,128.0
一起摇摆_汪峰_生来彷徨.mp3,./Music/一起摇摆_汪峰_生来彷徨.mp3,.mp3,4220319,生来彷徨,汪峰,一起摇摆,13,,263.12237078739537,42,128.0
不害怕_张韶涵_全面沦陷.mp3,./Music/不害怕_张韶涵_全面沦陷.mp3,.mp3,3707211,全面沦陷,张韶涵,不害怕 (原曲：Never Give Up),2016,Pop,231.4266948158574,1,128.0
不说再见_好妹妹乐队_不说再见.mp3,./Music/不说再见_好妹妹乐队_不说再见.mp3,.mp3,11860887,不说再见,好妹妹乐队,不说再见,2015,Pop,296.3130455168857,1,320.0
丝路_梁静茹_现在开始我爱你[恋爱的力量]新歌+精选.mp3,./Music/丝路_梁静茹_现在开始我爱你[恋爱的力量]新歌+精选.mp3,.mp3,4777888,???????[?????]??+??,梁静茹,丝路,2011,,298.2611306591602,35,128.0
你太猖狂_田馥甄_To Hebe.mp3,./Music/你太猖狂_田馥甄_To Hebe.mp3,.mp3,3932528,To Hebe,田馥甄,你太猖狂,2010,,245.65754945656425,19,128.0
公路之歌_痛仰乐队_不要停止我的音乐.mp3,./Music/公路之歌_痛仰乐队_不要停止我的音乐.mp3,.mp3,7401193,不要停止我的音乐,痛仰乐队,公路之歌,2008,Pop,184.94738890386714,2,320.0
关不上的窗_周传雄_恋人创世纪.mp3,./Music/关不上的窗_周传雄_恋人创世纪.mp3,.mp3,4752079,恋人创世纪,周传雄,关不上的窗,2009,,290.49608257095946,3,128.0
冬天的秘密_周传雄_恋人创世纪.mp3,./Music/冬天的秘密_周传雄_恋人创世纪.mp3,.mp3,4423981,恋人创世纪,周传雄,冬天的秘密,2009,,269.97231996246774,70,128.0
